# l_bin_centers l_bin_widths
1.168084471000000057e+01 3.600668718997573237e+00
1.593759367000000005e+01 4.912829213054974886e+00
2.174559276000000096e+01 6.703168966387668348e+00
2.967015059999999949e+01 9.145946726725163956e+00
4.048258635999999910e+01 1.247892478836064356e+01
5.523530432999999817e+01 1.702651117045695628e+01
7.536422742000000596e+01 2.323133501313423466e+01
1.028285594299999985e+02 3.169732902590043011e+01
1.403014798499999927e+02 4.324851184520321112e+01
1.914303317899999968e+02 5.900919205628801478e+01
2.611916279600000053e+02 8.051340033067765489e+01
3.563754284899999902e+02 1.098542007843389570e+02
4.862462362300000223e+02 1.498874147785008404e+02
6.634447364999999763e+02 2.045095858795259574e+02
9.052181499800000211e+02 2.790372412150719583e+02
1.235098952419999932e+03 3.807243638740771985e+02
1.685195355739999968e+03 5.194684430422012156e+02
2.299316489129999809e+03 7.087738241169211051e+02
3.137236462930000016e+03 9.670661240027670829e+02
4.280512348289999863e+03 1.319485644781816063e+03
