# ell deltaell
1.029347927270274887e+01 5.869585454054977447e-01
1.089766383480947276e+01 6.214105788079500314e-01
1.153731152608925825e+01 6.578848037516209502e-01
1.221450388521360075e+01 6.964999144970640543e-01
1.293144462854507637e+01 7.373815721658889544e-01
1.369046682146133165e+01 7.806628136666198259e-01
1.449404047060604839e+01 8.264844846228136532e-01
1.534478056177358596e+01 8.749956977122614887e-01
1.624545556958410586e+01 9.263543179087800894e-01
1.719899646664137904e+01 9.807274762057645034e-01
1.820850626149078977e+01 1.038292113493056945e+00
1.927727009641593980e+01 1.099235556357246679e+00
2.040876593793406002e+01 1.163756126678990199e+00
2.160667589477916195e+01 1.232063787011213662e+00
2.287489820020392273e+01 1.304380823838304337e+00
2.421755989759297378e+01 1.380942570939801328e+00
2.563903027066913864e+01 1.461998175212531947e+00
2.714393506199709094e+01 1.547811407443372644e+00
2.873717152605420821e+01 1.638661520670858351e+00
3.042392436585431170e+01 1.734844158929352176e+00
3.220968260498518276e+01 1.836672319332389947e+00
3.410025744996467267e+01 1.944477370626579216e+00
3.610180120104308799e+01 2.058610131530265619e+00
3.822082727299135740e+01 2.179442012366266113e+00
4.046423139102633115e+01 2.307366223703688490e+00
4.283931403084916667e+01 2.442799055941968334e+00
4.535380417582081236e+01 2.586181234001330154e+00
4.801588446858536940e+01 2.737979351527776828e+00
5.083421783898928936e+01 2.898687389280077298e+00
5.381797569494922584e+01 3.068828322639788553e+00
5.697686776800680519e+01 3.248955823475370153e+00
6.032117371069386991e+01 3.439656061898752171e+00
6.386177654853198504e+01 3.641549613777485206e+00
6.761019809552570337e+01 3.855293480209965651e+00
7.157863644839844142e+01 4.081583225535496240e+00
7.578000568158454087e+01 4.321155240836702660e+00
8.022797787215287713e+01 4.574789140299955648e+00
8.493702759141919501e+01 4.843310298232694322e+00
8.992247900803178595e+01 5.127592534992501783e+00
9.520055575581287144e+01 5.428560960569640770e+00
1.007884337286355247e+02 5.747194985075680052e+00
1.067042969741413856e+02 6.084531505936027429e+00
1.129673968681871941e+02 6.441668282155603720e+00
1.195981147625868601e+02 6.819767506643728439e+00
1.266180283100156885e+02 7.220059588213928237e+00
1.340499816819115608e+02 7.643847155577844887e+00
1.419181599078764293e+02 8.092509296351835246e+00
1.502481675784916035e+02 8.567506044878541616e+00
1.590671121676628843e+02 9.070383133464019920e+00
1.684036922456413095e+02 9.602777022492858805e+00
1.782882908697829976e+02 1.016642022579046056e+01
1.887530744569589842e+02 1.076314694856154119e+01
1.998320974593661958e+02 1.139489905625288202e+01
2.115614131843740893e+02 1.206373239376293327e+01
2.239791911190372389e+02 1.277182347556336595e+01
2.371258411410702536e+02 1.352147656850263502e+01
2.510441450204920102e+02 1.431513119034090664e+01
2.657793956398714954e+02 1.515537004841803537e+01
2.813795443862247794e+02 1.604492744428847573e+01
2.978953571942047347e+02 1.698669817167149176e+01
3.153805797483809101e+02 1.798374693668080226e+01
3.338921123822060508e+02 1.903931833096953596e+01
3.534901952428289178e+02 2.015684739027614114e+01
3.742386043243125187e+02 2.133997077269106057e+01
3.962048590071906915e+02 2.259253859306534196e+01
4.194604417797357883e+02 2.391862695202479472e+01
4.440810308559538271e+02 2.532255120041139662e+01
4.701467464472922302e+02 2.680887998226540958e+01
4.977424114894752165e+02 2.838245010210056307e+01
5.269578276729239406e+02 3.004838226479671448e+01
5.578880676750179646e+02 3.181209773939133356e+01
5.906337845451794237e+02 3.367933600093169844e+01
6.253015392495776723e+02 3.565617340786468503e+01
6.620041474413526430e+02 3.774904297568537004e+01
7.008610465848109925e+02 3.996475531123121527e+01
7.419986846282904480e+02 4.231052077572780945e+01
7.855509314905117435e+02 4.479397294871478152e+01
8.316595146994720835e+02 4.742319346920601220e+01
8.804744806015364702e+02 5.020673833492276117e+01
9.321546826415903979e+02 5.315366574518486686e+01
9.868682983032133507e+02 5.627356557806126602e+01
1.044793376391098718e+03 5.957659059770924159e+01
1.106118416436680491e+03 6.307348949345418987e+01
1.171042982112470781e+03 6.677564185812684627e+01
1.239778350651276014e+03 7.069509521948339170e+01
1.312548200383625954e+03 7.484460424521648747e+01
1.389589338630803468e+03 7.923767224913876817e+01
1.471152472322175981e+03 8.388859513360580422e+01
1.557503023844568361e+03 8.881250791117918197e+01
1.648921994778616408e+03 9.402543395691691330e+01
1.745706880332856144e+03 9.954433715156233120e+01
1.848172637451310038e+03 1.053871770853459111e+02
1.956652709744976391e+03 1.115729675019865681e+02
2.071500112582539714e+03 1.181218381731403042e+02
2.193088581871416864e+03 1.250551004046137678e+02
2.321813790267482091e+03 1.323953163875166865e+02
2.458094634771264282e+03 1.401663726200481506e+02
2.602374599900704197e+03 1.483935576388312256e+02
2.755123200876497322e+03 1.571036443127550228e+02
2.916837511516438099e+03 1.663249769671265312e+02
3.000500000000000000e+03 1.000000000000000000e+00
3.001500000000000000e+03 1.000000000000000000e+00
3.002500000000000000e+03 1.000000000000000000e+00
3.003500000000000000e+03 1.000000000000000000e+00
3.004500000000000000e+03 1.000000000000000000e+00
3.005500000000000000e+03 1.000000000000000000e+00
3.006500000000000000e+03 1.000000000000000000e+00
3.007500000000000000e+03 1.000000000000000000e+00
3.008500000000000000e+03 1.000000000000000000e+00
3.009500000000000000e+03 1.000000000000000000e+00
3.010500000000000000e+03 1.000000000000000000e+00
3.011500000000000000e+03 1.000000000000000000e+00
3.012500000000000000e+03 1.000000000000000000e+00
3.013500000000000000e+03 1.000000000000000000e+00
3.014500000000000000e+03 1.000000000000000000e+00
3.015500000000000000e+03 1.000000000000000000e+00
3.016500000000000000e+03 1.000000000000000000e+00
3.017500000000000000e+03 1.000000000000000000e+00
3.018500000000000000e+03 1.000000000000000000e+00
3.019500000000000000e+03 1.000000000000000000e+00
3.020500000000000000e+03 1.000000000000000000e+00
3.021500000000000000e+03 1.000000000000000000e+00
3.022500000000000000e+03 1.000000000000000000e+00
3.023500000000000000e+03 1.000000000000000000e+00
3.024500000000000000e+03 1.000000000000000000e+00
3.025500000000000000e+03 1.000000000000000000e+00
3.026500000000000000e+03 1.000000000000000000e+00
3.027500000000000000e+03 1.000000000000000000e+00
3.028500000000000000e+03 1.000000000000000000e+00
3.029500000000000000e+03 1.000000000000000000e+00
3.030500000000000000e+03 1.000000000000000000e+00
3.031500000000000000e+03 1.000000000000000000e+00
3.032500000000000000e+03 1.000000000000000000e+00
3.033500000000000000e+03 1.000000000000000000e+00
3.034500000000000000e+03 1.000000000000000000e+00
3.035500000000000000e+03 1.000000000000000000e+00
3.036500000000000000e+03 1.000000000000000000e+00
3.037500000000000000e+03 1.000000000000000000e+00
3.038500000000000000e+03 1.000000000000000000e+00
3.039500000000000000e+03 1.000000000000000000e+00
3.040500000000000000e+03 1.000000000000000000e+00
3.041500000000000000e+03 1.000000000000000000e+00
3.042500000000000000e+03 1.000000000000000000e+00
3.043500000000000000e+03 1.000000000000000000e+00
3.044500000000000000e+03 1.000000000000000000e+00
3.045500000000000000e+03 1.000000000000000000e+00
3.046500000000000000e+03 1.000000000000000000e+00
3.047500000000000000e+03 1.000000000000000000e+00
3.048500000000000000e+03 1.000000000000000000e+00
3.049500000000000000e+03 1.000000000000000000e+00
3.050500000000000000e+03 1.000000000000000000e+00
3.051500000000000000e+03 1.000000000000000000e+00
3.052500000000000000e+03 1.000000000000000000e+00
3.053500000000000000e+03 1.000000000000000000e+00
3.054500000000000000e+03 1.000000000000000000e+00
3.055500000000000000e+03 1.000000000000000000e+00
3.056500000000000000e+03 1.000000000000000000e+00
3.057500000000000000e+03 1.000000000000000000e+00
3.058500000000000000e+03 1.000000000000000000e+00
3.059500000000000000e+03 1.000000000000000000e+00
3.060500000000000000e+03 1.000000000000000000e+00
3.061500000000000000e+03 1.000000000000000000e+00
3.062500000000000000e+03 1.000000000000000000e+00
3.063500000000000000e+03 1.000000000000000000e+00
3.064500000000000000e+03 1.000000000000000000e+00
3.065500000000000000e+03 1.000000000000000000e+00
3.066500000000000000e+03 1.000000000000000000e+00
3.067500000000000000e+03 1.000000000000000000e+00
3.068500000000000000e+03 1.000000000000000000e+00
3.069500000000000000e+03 1.000000000000000000e+00
3.070500000000000000e+03 1.000000000000000000e+00
3.071500000000000000e+03 1.000000000000000000e+00
3.072500000000000000e+03 1.000000000000000000e+00
3.073500000000000000e+03 1.000000000000000000e+00
3.074500000000000000e+03 1.000000000000000000e+00
3.075500000000000000e+03 1.000000000000000000e+00
3.076500000000000000e+03 1.000000000000000000e+00
3.077500000000000000e+03 1.000000000000000000e+00
3.078500000000000000e+03 1.000000000000000000e+00
3.079500000000000000e+03 1.000000000000000000e+00
3.080500000000000000e+03 1.000000000000000000e+00
3.081500000000000000e+03 1.000000000000000000e+00
3.082500000000000000e+03 1.000000000000000000e+00
3.083500000000000000e+03 1.000000000000000000e+00
3.084500000000000000e+03 1.000000000000000000e+00
3.085500000000000000e+03 1.000000000000000000e+00
3.086500000000000000e+03 1.000000000000000000e+00
3.087500000000000000e+03 1.000000000000000000e+00
3.088500000000000000e+03 1.000000000000000000e+00
3.089500000000000000e+03 1.000000000000000000e+00
3.090500000000000000e+03 1.000000000000000000e+00
3.091500000000000000e+03 1.000000000000000000e+00
3.092500000000000000e+03 1.000000000000000000e+00
3.093500000000000000e+03 1.000000000000000000e+00
3.094500000000000000e+03 1.000000000000000000e+00
3.095500000000000000e+03 1.000000000000000000e+00
3.096500000000000000e+03 1.000000000000000000e+00
3.097500000000000000e+03 1.000000000000000000e+00
3.098500000000000000e+03 1.000000000000000000e+00
3.099500000000000000e+03 1.000000000000000000e+00
3.100500000000000000e+03 1.000000000000000000e+00
3.101500000000000000e+03 1.000000000000000000e+00
3.102500000000000000e+03 1.000000000000000000e+00
3.103500000000000000e+03 1.000000000000000000e+00
3.104500000000000000e+03 1.000000000000000000e+00
3.105500000000000000e+03 1.000000000000000000e+00
3.106500000000000000e+03 1.000000000000000000e+00
3.107500000000000000e+03 1.000000000000000000e+00
3.108500000000000000e+03 1.000000000000000000e+00
3.109500000000000000e+03 1.000000000000000000e+00
3.110500000000000000e+03 1.000000000000000000e+00
3.111500000000000000e+03 1.000000000000000000e+00
3.112500000000000000e+03 1.000000000000000000e+00
3.113500000000000000e+03 1.000000000000000000e+00
3.114500000000000000e+03 1.000000000000000000e+00
3.115500000000000000e+03 1.000000000000000000e+00
3.116500000000000000e+03 1.000000000000000000e+00
3.117500000000000000e+03 1.000000000000000000e+00
3.118500000000000000e+03 1.000000000000000000e+00
3.119500000000000000e+03 1.000000000000000000e+00
3.120500000000000000e+03 1.000000000000000000e+00
3.121500000000000000e+03 1.000000000000000000e+00
3.122500000000000000e+03 1.000000000000000000e+00
3.123500000000000000e+03 1.000000000000000000e+00
3.124500000000000000e+03 1.000000000000000000e+00
3.125500000000000000e+03 1.000000000000000000e+00
3.126500000000000000e+03 1.000000000000000000e+00
3.127500000000000000e+03 1.000000000000000000e+00
3.128500000000000000e+03 1.000000000000000000e+00
3.129500000000000000e+03 1.000000000000000000e+00
3.130500000000000000e+03 1.000000000000000000e+00
3.131500000000000000e+03 1.000000000000000000e+00
3.132500000000000000e+03 1.000000000000000000e+00
3.133500000000000000e+03 1.000000000000000000e+00
3.134500000000000000e+03 1.000000000000000000e+00
3.135500000000000000e+03 1.000000000000000000e+00
